"Date"	"Country"	"LagTime"	"CFR"	"deaths"	"deathForecast"	"deathMin"	"deathMax"
2021-02-13	"Alabama"	41	3.14	9242	10127	9931	10323
2021-02-13	"Alaska"	17	0.66	282	289	284	295
2021-02-13	"American Samoa"	45	NA	0	NA	0	NA
2021-02-13	"Arizona"	42	2.27	14948	16378	16143	16613
2021-02-13	"Arkansas"	10	1.64	5252	5436	5409	5462
2021-02-13	"California"	24	1.25	46874	49113	48914	49313
2021-02-13	"Colorado"	27	0.72	5814	5903	5886	5919
2021-02-13	"Connecticut"	1	1.72	7381	NA	NA	NA
2021-02-13	"Delaware"	10	0.86	1282	1304	1299	1308
2021-02-13	"Diamond Princess"	45	NA	0	NA	0	NA
2021-02-13	"District of Columbia"	39	2	979	1018	1010	1026
2021-02-13	"Florida"	45	1.73	28683	30255	30108	30402
2021-02-13	"Georgia"	36	1.92	15850	17128	16918	17337
2021-02-13	"Grand Princess"	45	NA	3	NA	3	NA
2021-02-13	"Guam"	1	2.18	130	NA	NA	NA
2021-02-13	"Hawaii"	17	2.34	424	441	427	455
2021-02-13	"Idaho"	1	1.49	1803	NA	NA	NA
2021-02-13	"Illinois"	1	2.09	22087	NA	NA	NA
2021-02-13	"Indiana"	28	1.23	12149	12444	12396	12492
2021-02-13	"Iowa"	24	2.34	5236	5418	5337	5498
2021-02-13	"Kansas"	28	1.62	4329	4518	4450	4586
2021-02-13	"Kentucky"	45	1.49	4272	4548	4479	4617
2021-02-13	"Louisiana"	6	1.64	9276	NA	NA	NA
2021-02-13	"Maine"	4	1.48	647	NA	NA	NA
2021-02-13	"Maryland"	10	1.53	7536	7680	7667	7694
2021-02-13	"Massachusetts"	31	1.34	15424	15925	15852	15998
2021-02-13	"Michigan"	1	2.96	16119	NA	NA	NA
2021-02-13	"Minnesota"	2	1.72	6437	NA	NA	NA
2021-02-13	"Mississippi"	8	2.11	6461	6596	6581	6612
2021-02-13	"Missouri"	31	1.52	7766	8011	7944	8078
2021-02-13	"Montana"	45	1.4	1327	1364	1342	1387
2021-02-13	"Nebraska"	1	1.2	2002	NA	NA	NA
2021-02-13	"Nevada"	45	1.54	4694	4909	4879	4939
2021-02-13	"New Hampshire"	26	1.12	1130	1192	1179	1205
2021-02-13	"New Jersey"	34	1.48	22440	23069	23019	23119
2021-02-13	"New Mexico"	13	2.19	3516	3609	3602	3616
2021-02-13	"New York"	9	1.32	45751	46559	46496	46621
2021-02-13	"North Carolina"	45	1.65	10453	11236	11112	11359
2021-02-13	"North Dakota"	1	2.55	1461	NA	NA	NA
2021-02-13	"Northern Mariana Islands"	45	0	2	2	2	2
2021-02-13	"Ohio"	24	1.59	16340	16949	16340	17802
2021-02-13	"Oklahoma"	45	1.24	3994	4268	4241	4295
2021-02-13	"Oregon"	3	1.69	2137	NA	NA	NA
2021-02-13	"Pennsylvania"	1	3.02	23043	NA	NA	NA
2021-02-13	"Puerto Rico"	1	2.04	1915	NA	NA	NA
2021-02-13	"Rhode Island"	1	1.61	2290	NA	NA	NA
2021-02-13	"South Carolina"	24	1.65	7911	8418	8298	8538
2021-02-13	"South Dakota"	7	3.08	1838	1869	1859	1879
2021-02-13	"Tennessee"	45	1.39	10902	11504	11400	11608
2021-02-13	"Texas"	8	1.57	41149	42630	42487	42773
2021-02-13	"Utah"	5	0.63	1790	NA	NA	NA
2021-02-13	"Vermont"	23	0.81	189	197	194	200
2021-02-13	"Virgin Islands"	24	0.08	25	25	25	25
2021-02-13	"Virginia"	2	1.17	2201	NA	NA	NA
2021-02-13	"Washington"	35	1.22	4675	4899	4841	4956
2021-02-13	"West Virginia"	5	1.99	2201	NA	NA	NA
2021-02-13	"Wisconsin"	8	1.61	6744	6872	6859	6885
2021-02-13	"Wyoming"	45	1.23	647	667	662	673
