"Date"	"Country"	"LagTime"	"CFR"	"deaths"	"deathForecast"	"deathMin"	"deathMax"
2021-02-13	"Afghanistan"	1	6.5	2427	NA	NA	NA
2021-02-13	"Albania"	9	1.24	1543	1634	1613	1655
2021-02-13	"Algeria"	22	1.31	2935	2958	2954	2962
2021-02-13	"Andorra"	10	1.13	107	111	110	112
2021-02-13	"Angola"	3	3.2	491	NA	NA	NA
2021-02-13	"Antigua and Barbuda"	5	2.93	9	NA	NA	NA
2021-02-13	"Argentina"	13	1.68	50188	51129	51047	51211
2021-02-13	"Armenia"	45	0.76	3140	3159	3157	3161
2021-02-13	"Australia"	7	0	909	909	909	909
2021-02-13	"Austria"	26	2.22	8195	8446	8404	8489
2021-02-13	"Azerbaijan"	15	1.6	3178	3196	3194	3198
2021-02-13	"Bahamas"	40	0.56	178	178	178	179
2021-02-13	"Bahrain"	12	0.34	398	412	407	416
2021-02-13	"Bangladesh"	1	2.74	8266	NA	NA	NA
2021-02-13	"Barbados"	28	2.82	23	28	24	32
2021-02-13	"Belarus"	40	0.51	1840	1903	1901	1905
2021-02-13	"Belgium"	39	2.2	21634	21925	21881	21969
2021-02-13	"Belize"	3	4.48	313	NA	NA	NA
2021-02-13	"Benin"	11	1.75	56	62	58	66
2021-02-13	"Bhutan"	14	0	1	1	1	1
2021-02-13	"Bolivia"	10	2.79	11155	11474	11455	11493
2021-02-13	"Bosnia and Herzegovina"	10	5.01	4881	4975	4956	4995
2021-02-13	"Botswana"	3	1.69	202	NA	NA	NA
2021-02-13	"Brazil"	42	2.48	238532	245461	244636	246286
2021-02-13	"Brunei"	45	0	3	3	3	3
2021-02-13	"Bulgaria"	8	7.79	9608	10034	9972	10095
2021-02-13	"Burkina Faso"	31	1.02	138	149	145	152
2021-02-13	"Burma"	1	3.17	3188	NA	NA	NA
2021-02-13	"Burundi"	26	0.12	3	3	3	4
2021-02-13	"Cabo Verde"	8	1.02	139	143	141	144
2021-02-13	"Cambodia"	45	0	0	0	0	0
2021-02-13	"Cameroon"	10	Inf	479	Inf	479	NA
2021-02-13	"Canada"	9	2.02	21238	21742	21694	21790
2021-02-13	"Central African Republic"	45	0	63	63	63	63
2021-02-13	"Chad"	10	1.61	128	130	129	131
2021-02-13	"Chile"	17	2.04	19443	20015	19946	20083
2021-02-13	"China"	9	0.83	4811	4814	4813	4814
2021-02-13	"Colombia"	7	2.41	57425	58611	58531	58691
2021-02-13	"Comoros"	3	5.24	128	NA	NA	NA
2021-02-13	"Congo Brazzaville"	20	1.23	123	125	123	128
2021-02-13	"Congo Kinshasa"	13	1.32	693	705	702	708
2021-02-13	"Costa Rica"	2	1.83	2714	NA	NA	NA
2021-02-13	"Cote d'Ivoire"	18	0.64	173	183	181	186
2021-02-13	"Croatia"	12	3.78	5299	5418	5402	5434
2021-02-13	"Cuba"	9	0.69	261	302	289	314
2021-02-13	"Cyprus"	8	1.05	220	229	226	232
2021-02-13	"Czechia"	7	1.78	18058	18973	18864	19082
2021-02-13	"Denmark"	22	1.17	2285	2346	2339	2353
2021-02-13	"Diamond Princess"	45	NA	13	NA	13	NA
2021-02-13	"Djibouti"	45	1.16	63	63	63	64
2021-02-13	"Dominica"	42	1.46	2932	2544	2545	2542
2021-02-13	"Dominican Republic"	17	1.11	2932	3040	2995	3084
2021-02-13	"Ecuador"	4	2.42	15269	NA	NA	NA
2021-02-13	"Egypt"	7	6.72	9935	10195	10140	10250
2021-02-13	"El Salvador"	33	3.89	1734	1818	1800	1836
2021-02-13	"Equatorial Guinea"	14	0.19	87	87	87	87
2021-02-13	"Eritrea"	10	0.09	7	7	7	8
2021-02-13	"Estonia"	16	1.16	491	533	529	537
2021-02-13	"Eswatini"	5	5.48	630	NA	NA	NA
2021-02-13	"Ethiopia"	20	1.43	2181	2228	2218	2237
2021-02-13	"Fiji"	45	0	2	2	2	2
2021-02-13	"Finland"	18	1.35	710	745	734	755
2021-02-13	"France"	1	2.03	80955	NA	NA	NA
2021-02-13	"Gabon"	44	1.57	73	74	73	75
2021-02-13	"Gambia"	2	2.21	135	NA	NA	NA
2021-02-13	"Georgia"	14	1.61	3343	3412	3401	3424
2021-02-13	"Germany"	26	3.6	64990	68573	68027	69120
2021-02-13	"Ghana"	5	1.04	533	NA	NA	NA
2021-02-13	"Greece"	29	3.5	6103	6227	6214	6240
2021-02-13	"Grenada"	18	0	1	1	1	1
2021-02-13	"Guatemala"	4	4.49	6094	NA	NA	NA
2021-02-13	"Guinea"	4	1.02	9	NA	NA	NA
2021-02-13	"Guinea-Bissau"	22	1.08	46	46	46	47
2021-02-13	"Guyana"	18	1.37	186	191	188	194
2021-02-13	"Haiti"	32	1.07	246	250	249	252
2021-02-13	"Holy See"	45	NA	0	NA	0	NA
2021-02-13	"Honduras"	1	1.79	3857	NA	NA	NA
2021-02-13	"Hungary"	8	6.41	13636	14240	14149	14330
2021-02-13	"Iceland"	28	0	29	29	29	29
2021-02-13	"India"	21	0.75	155642	156341	156258	156423
2021-02-13	"Indonesia"	1	2.24	32936	NA	NA	NA
2021-02-13	"Iran"	15	1.3	58883	59478	59424	59532
2021-02-13	"Iraq"	9	1	13164	13263	13251	13275
2021-02-13	"Ireland"	17	1.7	3931	4089	4021	4156
2021-02-13	"Israel"	11	0.7	5351	5676	5653	5699
2021-02-13	"Italy"	14	2.96	93356	95840	95676	96004
2021-02-13	"Jamaica"	37	2.37	372	384	382	386
2021-02-13	"Japan"	12	1.88	6928	7265	7206	7325
2021-02-13	"Jordan"	24	0.85	4444	4494	4487	4501
2021-02-13	"Kazakhstan"	30	1.09	3135	3211	3175	3247
2021-02-13	"Kenya"	1	1.98	1795	NA	NA	NA
2021-02-13	"Korea, South"	11	2	1522	1576	1569	1583
2021-02-13	"Kosovo"	18	2.05	1540	1586	1567	1605
2021-02-13	"Kuwait"	27	0.35	998	1010	1004	1017
2021-02-13	"Kyrgyzstan"	4	2.12	1441	NA	NA	NA
2021-02-13	"Laos"	45	0	0	0	0	0
2021-02-13	"Latvia"	6	2.12	1443	NA	NA	NA
2021-02-13	"Lebanon"	17	1.89	3961	4372	4311	4433
2021-02-13	"Lesotho"	18	3.17	225	255	230	279
2021-02-13	"Liberia"	27	0.35	84	84	84	84
2021-02-13	"Libya"	1	1.93	2014	NA	NA	NA
2021-02-13	"Liechtenstein"	4	1.53	52	NA	NA	NA
2021-02-13	"Lithuania"	10	1.95	2988	3072	3059	3084
2021-02-13	"Luxembourg"	28	1.12	606	615	612	618
2021-02-13	"MS Zaandam"	45	NA	2	NA	2	NA
2021-02-13	"Madagascar"	1	1.42	285	NA	NA	NA
2021-02-13	"Malawi"	4	3.61	937	NA	NA	NA
2021-02-13	"Malaysia"	5	0.33	958	NA	NA	NA
2021-02-13	"Maldives"	8	0.27	58	61	59	62
2021-02-13	"Mali"	1	7.14	342	NA	NA	NA
2021-02-13	"Malta"	36	1.86	290	314	307	322
2021-02-13	"Marshall Islands"	45	NA	0	NA	0	NA
2021-02-13	"Mauritania"	5	2.19	428	NA	NA	NA
2021-02-13	"Mauritius"	45	0	10	10	10	10
2021-02-13	"Mexico"	45	11.8	173771	181470	180588	182351
2021-02-13	"Micronesia"	45	NA	0	NA	0	NA
2021-02-13	"Moldova"	6	2.82	3640	NA	NA	NA
2021-02-13	"Monaco"	26	2.97	21	25	23	28
2021-02-13	"Mongolia"	41	0	2	2	2	2
2021-02-13	"Montenegro"	15	1.04	882	916	908	925
2021-02-13	"Morocco"	36	0.98	8460	8544	8532	8555
2021-02-13	"Mozambique"	4	1.26	525	NA	NA	NA
2021-02-13	"Namibia"	12	1.18	386	398	396	401
2021-02-13	"Nepal"	39	0.5	2054	2069	2064	2074
2021-02-13	"Netherlands"	17	1.04	14913	15230	15202	15257
2021-02-13	"New Zealand"	45	0	25	25	25	25
2021-02-13	"Nicaragua"	14	1.91	171	172	172	172
2021-02-13	"Niger"	2	1.13	1747	NA	NA	NA
2021-02-13	"Nigeria"	8	0.79	1747	1810	1799	1821
2021-02-13	"North Macedonia"	5	3.59	2976	NA	NA	NA
2021-02-13	"Norway"	7	0.82	592	606	603	609
2021-02-13	"Oman"	38	0.64	1539	1547	1545	1549
2021-02-13	"Pakistan"	15	2.27	12307	12566	12537	12596
2021-02-13	"Panama"	8	1.67	5621	5725	5703	5747
2021-02-13	"Papua New Guinea"	10	0	9	9	9	9
2021-02-13	"Paraguay"	1	1.9	2920	NA	NA	NA
2021-02-13	"Peru"	4	3.03	43255	NA	NA	NA
2021-02-13	"Philippines"	1	3.54	11507	NA	NA	NA
