"Date"	"Country"	"LagTime"	"CFR"	"deaths"	"deathForecast"	"deathMin"	"deathMax"
2021-02-13	"Greece"	30	3.11	6103	6219	6203	6234
2021-02-12	"Iceland"	37	0.29	29	29	29	30
2021-02-13	"Liechtenstein"	4	1.68	52	NA	NA	NA
2021-02-13	"Monaco"	25	3.1	21	26	23	28
2021-02-13	"North Macedonia"	5	3.59	2976	NA	NA	NA
2021-02-12	"San Marino"	1	1.18	72	NA	NA	NA
2021-02-13	"Serbia"	18	0.83	4214	4311	4302	4319
2021-02-10	"France"	11	1.7	56772	59206	59064	59348
2021-02-14	"Switzerland"	1	2.28	9817	NA	NA	NA
2021-02-14	"United Kingdom"	26	2.37	117166	124625	117166	151794
2021-02-09	"Lithuania"	11	1.78	2988	3079	3068	3091
2021-02-14	"Italy"	14	2.94	93577	96031	95875	96186
2021-02-10	"Luxembourg"	12	1.34	604	622	618	627
2021-02-14	"Netherlands"	17	1.05	14816	15122	15095	15150
2021-02-14	"Germany"	26	3.59	64960	68715	68225	69204
2021-02-14	"Ireland"	17	1.68	3948	4093	4032	4153
2021-02-14	"Latvia"	6	2.13	1451	NA	NA	NA
2021-02-11	"Spain"	9	1.69	64217	69320	67677	70963
2021-02-13	"Belgium"	45	2.47	21634	22093	22014	22173
2021-02-13	"Czech Republic"	7	1.79	18143	19069	18961	19177
2021-02-14	"Estonia"	2	1.21	495	NA	NA	NA
2021-02-14	"Hungary"	16	6.13	13706	14308	14213	14404
2021-02-14	"Portugal"	7	2.22	15321	16094	16012	16176
2021-02-11	"Poland"	1	4.06	40177	NA	NA	NA
2021-02-12	"Ukraine"	1	2.6	24174	NA	NA	NA
2021-02-13	"Austria"	18	2.34	8101	8328	8313	8344
2021-02-12	"Slovakia"	25	3.18	5733	6162	6087	6236
2021-02-14	"Malta"	36	1.68	293	318	308	328
2021-02-14	"Moldova"	6	2.82	3651	NA	NA	NA
2021-02-12	"Norway"	33	0.71	592	645	630	660
2021-02-14	"Andorra"	7	1.06	107	110	110	111
2021-02-14	"Belarus"	1	0.59	1849	NA	NA	NA
2021-02-14	"Croatia"	15	3.14	5318	5421	5391	5452
2021-02-09	"Denmark"	10	1.08	2244	2329	2310	2349
2021-02-11	"Sweden"	3	-0.67	-1	NA	NA	NA
2021-02-14	"Turkey"	13	1.54	27471	28283	28164	28402
2021-02-09	"Slovenia"	45	1.74	3923	4093	4029	4157
2021-02-14	"Albania"	8	1.23	1555	1651	1627	1674
2021-02-08	"Kosovo"	1	2.37	1523	NA	NA	NA
2021-02-12	"Finland"	45	0	0	0	0	0
2021-02-13	"Romania"	23	2.05	19325	19702	19648	19757
2021-02-14	"Russian Fed."	1	2.73	80126	NA	NA	NA
2021-02-14	"Bulgaria"	8	8.63	9605	10203	10077	10328
2021-02-13	"Cyprus"	12	1.14	260	270	265	274
2021-02-12	"Bosnia and Herzegovina"	33	3.38	4866	4983	4960	5007
2021-02-14	"Montenegro"	16	1.07	881	916	907	925
