"Date"	"Country"	"LagTime"	"CFR"	"deaths"	"deathForecast"	"deathMin"	"deathMax"
2021-02-14	"Abruzzo"	16	3.64	1563	1642	1624	1660
2021-02-14	"Basilicata"	11	3.05	352	366	362	370
2021-02-14	"Calabria"	29	1.53	647	679	672	686
2021-02-14	"Campania"	43	2.24	4006	4153	4135	4170
2021-02-14	"Emilia-Romagna"	8	3.69	10126	10444	10407	10481
2021-02-14	"Friuli Venezia Giulia"	1	5.05	2693	NA	NA	NA
2021-02-14	"Lazio"	21	2.77	5472	5693	5678	5708
2021-02-14	"Liguria"	18	5.05	3515	3614	3601	3627
2021-02-14	"Lombardia"	18	3.11	27775	28158	28104	28212
2021-02-14	"Marche"	5	2.83	2104	NA	NA	NA
2021-02-14	"Molise"	1	4.32	308	NA	NA	NA
2021-02-14	"P.A. Bolzano"	27	2.72	943	1021	997	1044
2021-02-14	"P.A. Trento"	38	2.46	1177	1207	1193	1222
2021-02-14	"Piemonte"	17	3.4	9131	9315	9285	9345
2021-02-14	"Puglia"	11	2.58	3599	3759	3733	3786
2021-02-14	"Sardegna"	2	3.36	1066	NA	NA	NA
2021-02-14	"Sicilia"	3	2.94	3848	NA	NA	NA
2021-02-14	"Toscana"	28	3.67	4431	4536	4528	4543
2021-02-14	"Umbria"	12	2.96	904	973	966	980
2021-02-14	"Valle d'Aosta"	30	3.01	413	417	416	418
2021-02-14	"Veneto"	12	3.51	9497	9661	9627	9695
