ccaa	23-Sep	17-Sep	10-Sep	03-Sep	27-Aug	20-Aug
Andalucía 	157 	144 	138 	95 	62 	40 
Aragón 	62 	62 	66 	66 	63 	60 
Asturias 	13 	10 	9 	4 	2 	3 
Baleares 	68 	63 	53 	56 	40 	24 
Canarias 	61 	57 	60 	45 	29 	13 
Cantabria 	9 	11 	9 	5 	1 	4 
Castilla La Mancha 	82 	73 	52 	49 	28 	11 
Castilla y León 	80 	58 	41 	36 	26 	11 
Cataluña 	158 	152 	151 	147 	147 	136 
Ceuta 	3 	1 	1 	-   	-   	-   
C. Valenciana 	80 	74 	79 	59 	51 	35 
Extremadura 	20 	21 	15 	13 	10 	6 
Galicia 	33 	30 	25 	18 	12 	7 
Madrid 	436 	409 	304 	230 	176 	126 
Melilla 	3 	4 	1 	2 	1 	-   
Murcia 	58 	58 	54 	46 	17 	11 
Navarra 	25 	18 	7 	9 	9 	6 
País Vasco 	67 	65 	60 	43 	38 	27 
La Rioja 	21 	21 	11 	7 	3 	2 
